id;description;maximum;minimum;createdAt;updatedAt;dietGroupId;ingredientId
348;;100;;2017-12-05 18:33:58.905+00;2017-12-05 18:33:58.905+00;9;110
349;;100;;2017-12-05 18:34:00.132+00;2017-12-05 18:34:00.132+00;79;110
350;;100;;2017-12-05 18:34:01.006+00;2017-12-05 18:34:01.006+00;116;110
351;;100;;2017-12-05 18:34:02.227+00;2017-12-05 18:34:02.227+00;50;110
352;;100;;2017-12-05 18:34:03.62+00;2017-12-05 18:34:03.62+00;5;110
353;;100;;2017-12-05 18:34:04.493+00;2017-12-05 18:34:04.493+00;150;110
354;;100;;2017-12-05 18:34:05.364+00;2017-12-05 18:34:05.364+00;144;110
355;;100;;2017-12-05 18:34:06.754+00;2017-12-05 18:34:06.754+00;83;110
356;;100;;2017-12-05 18:34:07.976+00;2017-12-05 18:34:07.976+00;103;110
357;;100;;2017-12-05 18:34:08.849+00;2017-12-05 18:34:08.849+00;119;110
358;;100;;2017-12-05 18:34:09.721+00;2017-12-05 18:34:09.721+00;1;110
359;;100;;2017-12-05 18:34:10.421+00;2017-12-05 18:34:10.421+00;26;110
373;;100;;2017-12-05 18:34:26.297+00;2017-12-05 18:34:26.297+00;90;85
374;;100;;2017-12-05 18:34:28.211+00;2017-12-05 18:34:28.211+00;69;85
375;;100;;2017-12-05 18:34:30.299+00;2017-12-05 18:34:30.299+00;9;85
376;;100;;2017-12-05 18:34:31.525+00;2017-12-05 18:34:31.525+00;79;85
377;;100;;2017-12-05 18:34:32.404+00;2017-12-05 18:34:32.404+00;116;85
378;;100;;2017-12-05 18:34:33.622+00;2017-12-05 18:34:33.622+00;50;85
379;;100;;2017-12-05 18:34:35.019+00;2017-12-05 18:34:35.019+00;5;85
380;;100;;2017-12-05 18:34:35.896+00;2017-12-05 18:34:35.896+00;150;85
381;;100;;2017-12-05 18:34:36.767+00;2017-12-05 18:34:36.767+00;144;85
382;;100;;2017-12-05 18:34:38.161+00;2017-12-05 18:34:38.161+00;83;85
383;;100;;2017-12-05 18:34:39.378+00;2017-12-05 18:34:39.378+00;103;85
384;;100;;2017-12-05 18:34:40.251+00;2017-12-05 18:34:40.251+00;119;85
385;;100;;2017-12-05 18:34:41.125+00;2017-12-05 18:34:41.125+00;1;85
386;;100;;2017-12-05 18:34:41.837+00;2017-12-05 18:34:41.837+00;26;85
387;;80;;2017-12-05 18:34:43.058+00;2017-12-05 18:34:43.058+00;90;151
388;;80;;2017-12-05 18:34:44.984+00;2017-12-05 18:34:44.984+00;69;151
389;;80;;2017-12-05 18:34:47.084+00;2017-12-05 18:34:47.084+00;9;151
390;;80;;2017-12-05 18:34:48.314+00;2017-12-05 18:34:48.314+00;79;151
391;;80;;2017-12-05 18:34:49.196+00;2017-12-05 18:34:49.196+00;116;151
392;;80;;2017-12-05 18:34:50.414+00;2017-12-05 18:34:50.414+00;50;151
393;;80;;2017-12-05 18:34:51.811+00;2017-12-05 18:34:51.811+00;5;151
394;;80;;2017-12-05 18:34:52.685+00;2017-12-05 18:34:52.685+00;150;151
395;;80;;2017-12-05 18:34:53.555+00;2017-12-05 18:34:53.555+00;144;151
