id;description;name;userName;createdAt;updatedAt;dietGroupId
49;;Broiler Chicks, 0 - 3 Weeks Of Age;;2017-12-05 17:12:28.424+00;2017-12-05 17:12:28.424+00;48
50;;Broiler Chicks, 0 - 3 Weeks Of Age;;2017-12-05 17:12:34.155+00;2017-12-05 17:12:34.155+00;49
51;;Broiler Chicks, 3 - 6 Weeks Of Age;;2017-12-05 17:12:40.121+00;2017-12-05 17:12:40.121+00;48
52;;Broiler Chicks, 3 - 6 Weeks Of Age;;2017-12-05 17:12:45.98+00;2017-12-05 17:12:45.98+00;49
53;;Broilers, 6 -8 Weeks Of Age, Finishing Stage;;2017-12-05 17:12:51.939+00;2017-12-05 17:12:51.939+00;48
54;;Broilers, 6 -8 Weeks Of Age, Finishing Stage;;2017-12-05 17:12:57.942+00;2017-12-05 17:12:57.942+00;49
55;;Brood Fish;;2017-12-05 17:13:01.183+00;2017-12-05 17:13:01.183+00;52
56;;Brood Fish;;2017-12-05 17:13:04.754+00;2017-12-05 17:13:04.754+00;54
57;;Brood Fish;;2017-12-05 17:13:08.33+00;2017-12-05 17:13:08.33+00;56
58;;Brood Fish;;2017-12-05 17:13:12.063+00;2017-12-05 17:13:12.063+00;58
59;;Brood Fish;;2017-12-05 17:13:16.32+00;2017-12-05 17:13:16.32+00;59
60;;Brood Fish;;2017-12-05 17:13:20.4+00;2017-12-05 17:13:20.4+00;60
61;;Brood Fish;;2017-12-05 17:13:24.556+00;2017-12-05 17:13:24.556+00;61
62;;Brood Fish;;2017-12-05 17:13:28.625+00;2017-12-05 17:13:28.625+00;62
63;;Brown Egg Layers, Feed Intake ± Around 100 g/Bird/Day;;2017-12-05 17:13:34.005+00;2017-12-05 17:13:34.005+00;64
64;;Brown Egg Layers, Feed Intake ± Around 100 g/Bird/Day;;2017-12-05 17:13:40.031+00;2017-12-05 17:13:40.031+00;65
65;;Brown Egg Layers, Feed Intake Around 110 g/Bird/Day;;2017-12-05 17:13:46.218+00;2017-12-05 17:13:46.218+00;64
66;;Brown Egg Layers, Feed Intake Around 110 g/Bird/Day;;2017-12-05 17:13:52.444+00;2017-12-05 17:13:52.444+00;65
67;;Brown Egg Layers, Feed Intake Around 120 g/Bird/Day;;2017-12-05 17:13:58.797+00;2017-12-05 17:13:58.797+00;64
68;;Brown Egg Layers, Feed Intake Around 120 g/Bird/Day;;2017-12-05 17:14:04.986+00;2017-12-05 17:14:04.986+00;65
69;;Brown Egg Layers, Feed Intake Around 90 g/Bird/Day;;2017-12-05 17:14:11.365+00;2017-12-05 17:14:11.365+00;64
70;;Brown Egg Layers, Feed Intake Around 90 g/Bird/Day;;2017-12-05 17:14:17.655+00;2017-12-05 17:14:17.655+00;65
71;;Brown Egg Strain, 0 - 6 Weeks, Ending aound 500 g BW;;2017-12-05 17:14:23.035+00;2017-12-05 17:14:23.035+00;67
72;;Brown Egg Strain, 0 - 6 Weeks, Ending aound 500 g BW;;2017-12-05 17:14:29.38+00;2017-12-05 17:14:29.38+00;68
73;;Brown Egg Strain, 12 - 18 Weeks, Ending Around 1500 g BW;;2017-12-05 17:14:35.964+00;2017-12-05 17:14:35.964+00;67
