id;description;name;createdAt;updatedAt;applicationId;dietGroupId
132;;Small Breeds 4% BFat;2017-12-05 17:26:08.319+00;2017-12-05 17:26:08.319+00;1;128
134;;Large Breeds 4% BFat;2017-12-05 17:26:11.919+00;2017-12-05 17:26:11.919+00;1;128
138;;Small Breeds 5% BFat;2017-12-05 17:26:24.621+00;2017-12-05 17:26:24.621+00;1;128
141;;Gestating Sows with a specific BW and an Anticipated Litter Size;2017-12-05 17:28:07.473+00;2017-12-05 17:28:07.473+00;1;5
144;;Rabbits;2017-12-05 17:28:53.314+00;2017-12-05 17:28:53.314+00;1;
147;;Calf Grower and Heifer Replacement rations;2017-12-05 17:32:27.755+00;2017-12-05 17:32:27.755+00;1;83
150;;Horses;2017-12-05 17:34:37.297+00;2017-12-05 17:34:37.297+00;1;
151;;Mature Horses;2017-12-05 17:34:37.643+00;2017-12-05 17:34:37.643+00;1;150
154;;Dairy Concentrates for a variety of forage regimes;2017-12-05 17:40:47.397+00;2017-12-05 17:40:47.397+00;1;83
157;;Zebra;2017-12-05 17:41:12.571+00;2017-12-05 17:41:12.571+00;1;103
158;;On Good and abundant grazing;2017-12-05 17:41:12.925+00;2017-12-05 17:41:12.925+00;1;157
161;;On Average to below average grazing;2017-12-05 17:41:20.437+00;2017-12-05 17:41:20.437+00;1;157
164;;On Poor or very little grazing;2017-12-05 17:41:28.871+00;2017-12-05 17:41:28.871+00;1;157
167;;Growing Horses;2017-12-05 17:44:13.623+00;2017-12-05 17:44:13.623+00;1;150
170;;Lactating Sows, According to BW and according to performance of the litter;2017-12-05 17:44:19.455+00;2017-12-05 17:44:19.455+00;1;5
173;;Milk Replacers, Pre;2017-12-05 17:47:36.414+00;2017-12-05 17:47:36.414+00;1;83
174;;starter and Starter rations for calves;2017-12-05 17:47:36.77+00;2017-12-05 17:47:36.77+00;1;173
177;;Growing Gilts and Barrows of mixed gender, ratio of about 1 to 1;2017-12-05 17:47:52.316+00;2017-12-05 17:47:52.316+00;1;5
180;;Rations for mature pregnant and non pregnant cows;2017-12-05 17:48:31.833+00;2017-12-05 17:48:31.833+00;1;69
183;;Rations for young cows raising their first crop of calves;2017-12-05 17:48:52.788+00;2017-12-05 17:48:52.788+00;1;69
186;;Concentrate feeds for animals on pasture or other forage regime;2017-12-05 17:53:01.446+00;2017-12-05 17:53:01.446+00;1;1
189;;Rations for Replacement Ewes and Rams;2017-12-05 17:53:25.768+00;2017-12-05 17:53:25.768+00;1;90
192;;Sexually Active Boar rations;2017-12-05 17:54:06.545+00;2017-12-05 17:54:06.545+00;1;5
195;;Growing and Finishing Steer and Heifer Calves at roughly 525kg (1150 lb);2017-12-05 17:56:08.217+00;2017-12-05 17:56:08.217+00;1;69
198;;On Good and Abundant grazing;2017-12-05 17:57:27.544+00;2017-12-05 17:57:27.544+00;1;104
200;;On Good and Abundant grazing;2017-12-05 17:57:31.012+00;2017-12-05 17:57:31.012+00;1;110
202;;On Good and Abundant grazing;2017-12-05 17:57:34.42+00;2017-12-05 17:57:34.42+00;1;107
207;;On Average to below averge grazing;2017-12-05 17:57:50.825+00;2017-12-05 17:57:50.825+00;1;104
209;;On average to below average grazing;2017-12-05 17:57:54.601+00;2017-12-05 17:57:54.601+00;1;110
211;;On Average to below average grazing;2017-12-05 17:57:58.54+00;2017-12-05 17:57:58.54+00;1;107
216;;Gestation Rations for two year old Replacement Heifers;2017-12-05 18:07:47.256+00;2017-12-05 18:07:47.256+00;1;69
219;;User Defined;2017-12-15 06:14:05.526861+00;2017-12-15 06:14:05.526861+00;1;
3;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:09:03.205+00;2017-12-05 17:09:03.205+00;1;2
7;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:09:26.695+00;2017-12-05 17:09:26.695+00;1;6
12;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:10:08.344+00;2017-12-05 17:10:08.344+00;1;11
16;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:10:33.848+00;2017-12-05 17:10:33.848+00;1;15
20;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:10:41.79+00;2017-12-05 17:10:41.79+00;1;19
24;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:10:50.174+00;2017-12-05 17:10:50.174+00;1;23
28;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:11:17.266+00;2017-12-05 17:11:17.266+00;1;27
32;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:11:30.403+00;2017-12-05 17:11:30.403+00;1;31
36;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:11:51.744+00;2017-12-05 17:11:51.744+00;1;35
40;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:12:05.232+00;2017-12-05 17:12:05.232+00;1;39
44;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:12:17.798+00;2017-12-05 17:12:17.798+00;1;43
48;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:12:28.072+00;2017-12-05 17:12:28.072+00;1;47
52;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:13:00.832+00;2017-12-05 17:13:00.832+00;1;51
54;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:13:04.403+00;2017-12-05 17:13:04.403+00;1;53
56;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:13:07.973+00;2017-12-05 17:13:07.973+00;1;55
58;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:13:11.712+00;2017-12-05 17:13:11.712+00;1;57
64;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:13:33.652+00;2017-12-05 17:13:33.652+00;1;63
67;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:14:22.688+00;2017-12-05 17:14:22.688+00;1;66
71;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:15:12.368+00;2017-12-05 17:15:12.368+00;1;70
74;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:15:17.609+00;2017-12-05 17:15:17.609+00;1;73
77;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:15:38.649+00;2017-12-05 17:15:38.649+00;1;76
81;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:18:30.869+00;2017-12-05 17:18:30.869+00;1;80
85;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:19:11.505+00;2017-12-05 17:19:11.505+00;1;84
88;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:19:23.554+00;2017-12-05 17:19:23.554+00;1;87
92;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:20:04.287+00;2017-12-05 17:20:04.287+00;1;91
95;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:20:09.533+00;2017-12-05 17:20:09.533+00;1;94
98;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:22:38.303+00;2017-12-05 17:22:38.303+00;1;97
101;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:23:04.464+00;2017-12-05 17:23:04.464+00;1;100
106;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:23:56.944+00;2017-12-05 17:23:56.944+00;1;105
109;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:23:59.639+00;2017-12-05 17:23:59.639+00;1;108
112;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:24:02.587+00;2017-12-05 17:24:02.587+00;1;111
117;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:24:15.659+00;2017-12-05 17:24:15.659+00;1;116
120;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:24:21.403+00;2017-12-05 17:24:21.403+00;1;119
123;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:25:49.877+00;2017-12-05 17:25:49.877+00;1;122
125;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:25:52.614+00;2017-12-05 17:25:52.614+00;1;124
130;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:26:01.623+00;2017-12-05 17:26:01.623+00;1;129
133;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:26:08.667+00;2017-12-05 17:26:08.667+00;1;132
135;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:26:12.267+00;2017-12-05 17:26:12.267+00;1;134
139;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:26:24.989+00;2017-12-05 17:26:24.989+00;1;138
142;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:28:07.819+00;2017-12-05 17:28:07.819+00;1;141
145;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:28:53.879+00;2017-12-05 17:28:53.879+00;1;144
148;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:32:28.111+00;2017-12-05 17:32:28.111+00;1;147
152;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:34:37.99+00;2017-12-05 17:34:37.99+00;1;151
155;The 'Micronutrients excluded' option formulates a least-cost ration in two stages. It first formulates a ration to its macronutrient stage and supplies thereafter a supplement micronutrient mix which, when added to the feed, will rectify all deficiencies found in the initial macronutrient formulation.;Micronutrients excluded;2017-12-05 17:40:47.751+00;2017-12-05 17:40:47.751+00;1;154
