id;description;name;userName;createdAt;updatedAt;ingredientGroupId
246;;Vitamin D, From Vitamin D3 Oil (Cholecalciferol);;2017-12-05 18:25:06.903+00;2017-12-05 18:25:06.903+00;8
247;;Vitamin D, From Vitamin D3 100;;2017-12-05 18:25:10.343+00;2017-12-05 18:25:10.343+00;8
248;;Vitamin D, From Vitamin D3 50;;2017-12-05 18:25:13.781+00;2017-12-05 18:25:13.781+00;8
249;;Vitamin D, From Vitamin D3 500;;2017-12-05 18:25:17.273+00;2017-12-05 18:25:17.273+00;8
250;;Vitamin E, From Vitamin E Acetate 50%;;2017-12-05 18:25:20.727+00;2017-12-05 18:25:20.727+00;8
251;;Vitamin E, From Vitamin E Acetate 500;;2017-12-05 18:25:24.143+00;2017-12-05 18:25:24.143+00;8
252;;Vitamin K, From Vitamin K 1%;;2017-12-05 18:25:27.388+00;2017-12-05 18:25:27.388+00;8
253;;Vitamin K, From Vitamin K 5%;;2017-12-05 18:25:30.626+00;2017-12-05 18:25:30.626+00;8
254;;Wheat Hay;;2017-12-05 18:25:33.912+00;2017-12-05 18:25:33.912+00;2
255;;Wheat Silage (Dough Stage);;2017-12-05 18:25:37.284+00;2017-12-05 18:25:37.284+00;3
256;;Wheat Straw;;2017-12-05 18:25:40.787+00;2017-12-05 18:25:40.787+00;2
257;;Wheat Straw, Ammoniated;;2017-12-05 18:25:44.162+00;2017-12-05 18:25:44.162+00;2
258;;Wheat, Bran;;2017-12-05 18:25:47.491+00;2017-12-05 18:25:47.491+00;7
259;;Wheat, Grain (Hard, Red Var);;2017-12-05 18:25:50.748+00;2017-12-05 18:25:50.748+00;7
260;;Wheat, Grain (Soft, White Var);;2017-12-05 18:25:54.015+00;2017-12-05 18:25:54.015+00;7
261;;Wheat, Middlings;;2017-12-05 18:25:57.347+00;2017-12-05 18:25:57.347+00;7
262;;Whey, Dried;;2017-12-05 18:26:00.655+00;2017-12-05 18:26:00.655+00;7
263;;Zn, From Zinc Carbonate;;2017-12-05 18:26:04.037+00;2017-12-05 18:26:04.037+00;11
264;;Zn, From Zinc Chloride;;2017-12-05 18:26:07.295+00;2017-12-05 18:26:07.295+00;11
265;;Zn, From Zinc Oxide;;2017-12-05 18:26:10.519+00;2017-12-05 18:26:10.519+00;11
266;;Zn, From Zinc Sulphate Monhydrate;;2017-12-05 18:26:13.808+00;2017-12-05 18:26:13.808+00;11
