Group 1,Group 2,Feedstuff,Minimum,Maximum
,Dairy Cattle,Sockeye Salmon oil,0,100
,Game,Sockeye Salmon oil,0,100
,Dogs,Sockeye Salmon oil,0,100
,Alpacas and Llamas,Sockeye Salmon oil,0,100
,Pigeons,Sockeye Salmon oil,0,100
,Sheep,Sunflower oil,0,100
,Beef Cattle,Sunflower oil,0,100
,Poultry,Sunflower oil,0,100
,Goats,Sunflower oil,0,100
,Cats,Sunflower oil,0,100
,Fish,Sunflower oil,0,100
,Pigs,Sunflower oil,0,100
,Horses,Sunflower oil,0,100
,Rabbits,Sunflower oil,0,100
,Dairy Cattle,Sunflower oil,0,100
,Game,Sunflower oil,0,100
,Dogs,Sunflower oil,0,100
,Alpacas and Llamas,Sunflower oil,0,100
,Pigeons,Sunflower oil,0,100
,Sheep,Peanut oil,0,100
,Beef Cattle,Peanut oil,0,100
,Poultry,Peanut oil,0,100
,Goats,Peanut oil,0,100
,Cats,Peanut oil,0,100
,Fish,Peanut oil,0,100
,Pigs,Peanut oil,0,100
,Horses,Peanut oil,0,100
,Rabbits,Peanut oil,0,100
,Dairy Cattle,Peanut oil,0,100
,Game,Peanut oil,0,100
,Dogs,Peanut oil,0,100
,Alpacas and Llamas,Peanut oil,0,100
,Pigeons,Peanut oil,0,100
,Sheep,Palm oil,0,100
,Beef Cattle,Palm oil,0,100
,Poultry,Palm oil,0,100
,Goats,Palm oil,0,100
,Cats,Palm oil,0,100
,Fish,Palm oil,0,100
,Pigs,Palm oil,0,100
,Horses,Palm oil,0,100
,Rabbits,Palm oil,0,100
,Dairy Cattle,Palm oil,0,100
,Game,Palm oil,0,100
,Dogs,Palm oil,0,100
,Alpacas and Llamas,Palm oil,0,100
,Pigeons,Palm oil,0,100
,Sheep,Olive oil,0,100
,Beef Cattle,Olive oil,0,100
,Poultry,Olive oil,0,100
,Goats,Olive oil,0,100
,Cats,Olive oil,0,100
,Fish,Olive oil,0,100
,Pigs,Olive oil,0,100
,Horses,Olive oil,0,100
,Rabbits,Olive oil,0,100
,Dairy Cattle,Olive oil,0,100
,Game,Olive oil,0,100
,Dogs,Olive oil,0,100
,Alpacas and Llamas,Olive oil,0,100
,Pigeons,Olive oil,0,100
,Sheep,Poultry fat,0,100
,Beef Cattle,Poultry fat,0,100
,Poultry,Poultry fat,0,100
,Goats,Poultry fat,0,100
,Cats,Poultry fat,0,100
,Fish,Poultry fat,0,100
