id;value;ingredientId;nutrientId
651;0.3;9;49
656;0;9;38
661;0;9;19
666;100;9;11
671;0;9;59
676;0.05;9;7
681;0.859;9;24
686;0.3;9;50
691;0.18;9;29
696;28.9;9;73
701;0;9;62
706;41.2;9;14
123;1.51;2;26
128;2.5;2;64
133;1.27;2;28
138;0;2;40
143;0;2;41
148;0.24;2;44
153;0;2;77
158;49.8;2;67
165;26.4;3;9
170;1418;3;70
173;19.6;3;2
176;0.26;3;38
178;2.38;3;16
183;92;3;1
188;4.36;3;71
193;0.89;3;33
197;0.9;3;35
202;1.885;3;25
207;42;3;61
212;1.3;3;30
217;0.93;3;39
222;0.89;3;47
227;0.82;3;43
232;5.8;3;74
237;0;3;66
245;0;4;52
250;1320;4;70
255;13.4;4;58
260;2.07;4;18
265;2.25;4;6
270;0.36;4;32
275;1.38;4;34
280;0.95;4;23
285;0.23;4;37
290;40.5;4;10
295;0.22;4;51
300;0.26;4;55
304;52;4;12
309;0.53;4;42
314;9.6;4;75
319;7.8;4;68
321;35.2;5;9
330;0.3;5;69
335;10.4;5;58
340;1.98;5;18
345;1.76;5;6
350;0.24;5;32
355;1.56;5;53
359;1.85;5;21
364;1.65;5;27
369;0.13;5;54
374;36;5;72
379;22;5;3
384;47.2;5;12
389;0.35;5;42
393;0;5;77
400;102.7;5;67
403;0.36;6;31
410;1.13;6;48
414;0;6;57
419;2.23;6;17
424;1.15;6;5
429;0.42;6;46
435;0.62;6;34
438;0.95;6;22
442;0.85;6;25
447;28;6;61
452;0.97;6;30
457;0.43;6;39
462;0.37;6;47
467;0.36;6;43
472;3.1;6;74
477;0;6;66
485;0;7;52
490;1325;7;70
494;0;7;57
500;2.02;7;18
505;2.047;7;6
510;0.3;7;32
515;0.97;7;34
520;0.95;7;23
525;0.2;7;37
530;41.83;7;10
532;0.22;7;51
539;20.47;7;3
543;0;7;41
549;0.44;7;42
554;9.7;7;75
559;7.7;7;68
562;0;8;8
569;0;8;80
573;0;8;57
577;2.4;8;16
583;90;8;1
588;4.3;8;71
593;0.64;8;33
598;0.95;8;22
602;1.61;8;25
607;25.47;8;61
613;1.29;8;30
619;25.2;8;3
622;0.68;8;47
626;54.63;8;14
631;32;8;65
