id;maximum;minimum;dietId;nutrientId
391;;7;12;72
396;;0.47;12;43
401;;1;12;74
406;1000;11;12;67
411;0.38;0.19;13;52
415;;0.08;13;49
420;100;0;13;1
425;;0;13;32
430;;0.1;13;7
434;0.3;0.04;13;50
439;;0;13;73
444;;0;13;42
449;;0;13;75
454;1800;0;13;63
459;1;0.5;14;48
462;;0.08;14;49
469;3000;50;14;60
473;;0.42;14;33
478;5;3.265;14;25
481;;2;14;61
488;;0.51;14;43
493;;1;14;74
499;1000;11;14;67
502;;0;15;69
507;;0;15;70
512;5;3.4;15;19
516;;0;15;71
521;;0;15;34
526;0.3;0.04;15;50
531;;0;15;73
536;;0;15;42
541;;0;15;75
546;1800;0;15;63
551;0.9;0.45;16;48
553;;0.08;16;49
558;100;0;16;1
564;8.1;0.14;16;59
567;;0.1;16;7
572;0.3;0.04;16;50
577;;7;16;73
585;;1;16;74
590;1000;11;16;67
594;;0;17;36
600;;0.08;17;49
605;100;0;17;1
610;;0;17;32
615;5;3.265;17;25
620;;0.1;17;54
624;2;0;17;62
630;300000;0;17;65
633;;0;17;75
638;1800;0;17;63
643;0.9;0.45;18;48
648;250;3;18;58
653;3000;40;18;60
658;;0.17;18;53
661;;0.57;18;35
667;;0.1;18;54
670;;0.32;18;39
674;;0.19;18;42
679;;2;18;75
684;1800;50;18;63
689;0.9;0.45;19;48
694;250;0;19;58
699;3000;0;19;60
704;;0.17;19;53
708;;0;19;37
712;;0.1;19;54
717;2;0;19;62
723;;0;19;74
728;1000;0;19;67
735;;0.05;20;69
740;14.2;13.2;20;2
743;100;0;20;1
748;8.1;0.14;20;59
752;;0.1;20;7
757;;2;20;61
762;;0.34;20;39
767;;0.4;20;45
221;100;59.4;8;12
224;750;27;8;63
229;;0;9;31
234;250;0;9;58
238;18;0;9;5
244;;0.19;9;53
246;;0.1;9;7
250;0.3;0.04;9;50
255;;0;9;73
260;;0;9;42
265;;0;9;75
270;1800;0;9;63
271;;0.19;10;31
279;15.2;14.2;10;2
284;18;0;10;5
289;;0.36;10;33
295;;0.17;10;37
300;0.9;0.45;10;51
304;;0.44;10;43
309;;1;10;74
315;;0.5;10;68
319;0.38;0.19;11;52
325;15.9;14.9;11;2
330;3000;0;11;60
334;8.1;0;11;59
340;5;3.265;11;25
344;;0.1;11;54
349;2;0;11;62
354;300000;0;11;65
359;27072;0;11;66
364;;0.62;12;36
368;10;0;12;4
373;;0.22;12;38
378;;0.3;12;71
382;;0.19;12;53
388;0.3;0.04;12;50
393;;7;12;73
398;;0.24;12;42
403;;2;12;75
408;1800;50;12;63
413;1;0.5;13;48
418;250;0;13;58
423;3000;0;13;60
428;;0.19;13;53
433;;0;13;37
438;0.9;0.45;13;51
443;;0;13;44
448;;0;13;74
453;;0;13;68
