id;description;name;applicationId
1;;Feed Additives;1
2;;Dry Roughages;1
3;;Green Roughage and Silage;1
4;;NPN Sources;1
5;;Fats and Oils;1
6;;Amino Acids;1
7;;Grains and Grain By Products;1
8;;Vitamins;1
9;;Protein Sources;1
10;;Macro Mineral Sources;1
11;;Micro Mineral Sources;1
12;;Trace Mineral Premixes;1
